year,scenario,deployment_scale,mitigation_factor,risk_growth_after_mitigation,no_action_risk_index,scenario_risk_index,avoided_risk
23,National programs,0.2,0.011000000000000001,0.034615,220.61144804005139,218.73169752622738,1.879750513824007
24,National programs,0.2,0.011000000000000001,0.034615,228.3328487214532,226.30309523609773,2.0297534853554566
25,National programs,0.2,0.011000000000000001,0.034615,236.32449842670403,234.13657687769523,2.1879215490087915
26,National programs,0.2,0.011000000000000001,0.034615,244.59585587163866,242.2412144863167,2.354641385321969
27,National programs,0.2,0.011000000000000001,0.034615,253.15671082714596,250.62639412576058,2.530316701385374
28,National programs,0.2,0.011000000000000001,0.034615,262.01719570609606,259.3018267584238,2.715368947672289
29,National programs,0.2,0.011000000000000001,0.034615,271.1877975558094,268.27755949166664,2.9102380641427885
30,National programs,0.2,0.011000000000000001,0.034615,280.6793704702627,277.5639872134707,3.115383256792029
0,Continental dryland networks,0.45,0.060300000000000006,0.0328895,100.0,100.0,0.0
1,Continental dryland networks,0.45,0.060300000000000006,0.0328895,103.49999999999999,103.28895,0.21104999999998597
2,Continental dryland networks,0.45,0.060300000000000006,0.0328895,107.12249999999999,106.68607192102499,0.43642807897499836
3,Continental dryland networks,0.45,0.060300000000000006,0.0328895,110.87178749999997,110.19492348347156,0.6768640165284125
4,Continental dryland networks,0.45,0.060300000000000006,0.0328895,114.75230006249997,113.8191794193812,0.9331206431187695
5,Continental dryland networks,0.45,0.060300000000000006,0.0328895,118.76863056468746,117.56263532089493,1.205995243792529
6,Continental dryland networks,0.45,0.060300000000000006,0.0328895,122.9255326344515,121.4292116152815,1.4963210191699972
7,Continental dryland networks,0.45,0.060300000000000006,0.0328895,127.22792627665729,125.4229576707023,1.8049686059549828
8,Continental dryland networks,0.45,0.060300000000000006,0.0328895,131.6809036963403,129.54805603701288,2.1328476593274104
9,Continental dryland networks,0.45,0.060300000000000006,0.0328895,136.2897353257122,133.80882682604224,2.4809084996699653
10,Continental dryland networks,0.45,0.060300000000000006,0.0328895,141.0598760621121,138.20973223593734,2.850143826174758
11,Continental dryland networks,0.45,0.060300000000000006,0.0328895,145.99697172428603,142.7553812243112,3.2415904999748193
12,Continental dryland networks,0.45,0.060300000000000006,0.0328895,151.10686573463602,147.45053433508818,3.656331399547838
13,Continental dryland networks,0.45,0.060300000000000006,0.0328895,156.39560603534827,152.30010868410207,4.095497351246195
14,Continental dryland networks,0.45,0.060300000000000006,0.0328895,161.86945224658544,157.30918310866784,4.560269137917601
15,Continental dryland networks,0.45,0.060300000000000006,0.0328895,167.53488307521593,162.48300348652037,5.051879588695556
16,Continental dryland networks,0.45,0.060300000000000006,0.0328895,173.39860398284847,167.8269882296903,5.57161575315817
17,Continental dryland networks,0.45,0.060300000000000006,0.0328895,179.46755512224814,173.3467339590707,6.120821163177453
18,Continental dryland networks,0.45,0.060300000000000006,0.0328895,185.74891955152682,179.04802136561756,6.700898185909267
19,Continental dryland networks,0.45,0.060300000000000006,0.0328895,192.25013173583025,184.93682126432202,7.313310471508231
20,Continental dryland networks,0.45,0.060300000000000006,0.0328895,198.9788863465843,191.01930084729497,7.959585499289318
21,Continental dryland networks,0.45,0.060300000000000006,0.0328895,205.94314736871473,197.30183014251207,8.64131722620266
22,Continental dryland networks,0.45,0.060300000000000006,0.0328895,213.1511575266197,203.79098868498426,9.360168841635442
23,Continental dryland networks,0.45,0.060300000000000006,0.0328895,220.61144804005139,210.49357240733903,10.117875632712355
24,Continental dryland networks,0.45,0.060300000000000006,0.0328895,228.3328487214532,217.41660075703018,10.916247964423007
25,Continental dryland networks,0.45,0.060300000000000006,0.0328895,236.32449842670403,224.56732404762855,11.75717437907548
26,Continental dryland networks,0.45,0.060300000000000006,0.0328895,244.59585587163866,231.95323105189303,12.642624819745635
27,Continental dryland networks,0.45,0.060300000000000006,0.0328895,253.15671082714596,239.58205684457425,13.574653982571704
28,Continental dryland networks,0.45,0.060300000000000006,0.0328895,262.01719570609606,247.46179090316392,14.555404802932145
29,Continental dryland networks,0.45,0.060300000000000006,0.0328895,271.1877975558094,255.6006854750735,15.58711208073592
